Apartamento en Venta,Quintas de Don Simón ,Usado,$500.000.000,Sansilvestre Group Inmobiliaria,7000461,5,Excelente,3,3,158 m²,158 m²
Apartamento en Venta,Ciudad Bochalema ,Usado,$350.000.000,Anuncio particular,7139475,5,Excelente,3,2,95 m²,87 m²
Apartamento en Venta,Quintas de Don Simón ,Usado,$500.000.000,Sansilvestre Group Inmobiliaria,7000461,5,Excelente,3,3,158 m²,158 m²
Apartamento en Venta,Quintas de Don Simón ,Usado,$500.000.000,Sansilvestre Group Inmobiliaria,7000461,5,Excelente,3,3,158 m²,158 m²
Apartamento en Venta,Ciudad Bochalema ,Usado,$350.000.000,Anuncio particular,7139475,5,Excelente,3,2,95 m²,87 m²
TRIBECA,La Selva ,Proyecto,$202.218.000,MARVAL CALI,5992559,4,En construcción,2,2,"56,76 m²","46,82 m²"
Apartamento en Venta,BOCHALEMA ,Usado,$178.000.000,7bienes Inmobiliaria,7072020,4,Excelente,3,2,60 m²,60 m²
SAONA,Ciudad Jardín ,Proyecto,$518.127.000,MARVAL CALI,4990436,6,En construcción,3,3,"93,92 m²","84,89 m²"
Apartamento en Venta,Capri ,Usado,$215.000.000,Anuncio particular,7045952,5,Bueno,2,2,88 m²,88 m²
BEST LIVING APARTAESTUDIOS,Ciudad Bochalema ,Proyecto,$175.240.000,NUEVO URBANISMO,7186005,5,Sobre planos,1,1,"33,7 m²","30,67 m²"
FIORINO,San Fernando ,Proyecto,$444.459.000,MARVAL CALI,5320631,5,En construcción,3,3,"87,11 m²","75,17 m²"
Tierralinda de la Pradera,Zona Sur ,Proyecto,$305.664.064,CONSTRUCTORA MELENDEZ S.A.,6836856,5,Sobre planos,3,2,"75,66 m²","67,75 m²"
Apartamento en Venta,El Lido ,Usado,$251.000.000,Ana Maria Zapata,7148123,4,Bueno,3,2,103 m²,96 m²
Nova Condominio Plus,Valle del Lili ,Proyecto,$515.937.790,CONSTRUCTORA MELENDEZ S.A.,4944016,5,Sobre planos,3,3,"99,61 m²","91,3 m²"
Apartamento en Venta,Valle del Lili ,Usado,$450.000.000,Anuncio particular,7237303,5,Excelente,3,3,102 m²,93 m²
BELATERRA AREIA,Zona Sur ,Proyecto,$299.766.000,MARVAL CALI,5355815,4,En construcción,3,2,"77,38 m²","68,77 m²"
ANTARES PANCE,Pance ,Proyecto,$656.300.000,SOLANILLAS S. A.,3429330,6,Sobre planos,3,4,114 m²,0 m²
VIOLETAS DEL CASTILLO,El Castillo ,Proyecto,$344.922.478,CONSTRUCTORA EL CASTILLO S.A.,6724706,5,En construcción,3,2,"108,24 m²","93,36 m²"
CATANIA,Valle del Lili ,Proyecto,$166.790.000,CONSTRUCTORA BOLIVAR CALI S.A,7121669,4,Sobre planos,1,1,"62,39 m²","56,93 m²"
Apartamento en Venta,Valle del Lili ,Usado,$180.000.000,Anuncio particular,7234223,4,Excelente,3,2,62 m²,58 m²
Apartamento en Venta,Valle del Lili ,Usado,$265.500.000,Encasa Real Estate,7220497,5,Excelente,3,2,78 m²,78 m²
Apartamento en Venta,Multicentro ,Usado,$509.000.000,Anuncio particular,7108747,6,Excelente,3,3,169 m²,169 m²
